,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
0,2O,146,ADQ,3531,KLN,7162,,0,BNI,Kodiak Airport,Kodiak,57.75,-152.4940033,78,Larsen Bay Airport,Larsen Bay,57.53509903,-153.9779968,87,"(57.75, -152.4940033)","(57.535099029499996, -153.977996826)",91.79824589,,
1,2O,146,KLN,7162,KYK,7161,,0,BNI,Larsen Bay Airport,Larsen Bay,57.53509903,-153.9779968,87,Karluk Airport,Karluk,57.56710052,-154.4499969,137,"(57.535099029499996, -153.977996826)","(57.5671005249, -154.449996948)",28.48293508,,
2,3E,10739,BRL,5726,ORD,3830,,0,CNC,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,"(40.783199310302734, -91.12550354003906)","(41.9786, -87.9048)",300.3161037,"220,411","9,458,539"
3,3E,10739,BRL,5726,ORD,3830,,0,CNC,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,"(40.783199310302734, -91.12550354003906)","(41.9786, -87.9048)",300.3161037,"169,509","9,458,539"
4,3E,10739,BRL,5726,STL,3678,,0,CNC,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,"(40.783199310302734, -91.12550354003906)","(38.748697, -90.370003)",234.98087940000002,"220,411","2,803,228"
5,3E,10739,BRL,5726,STL,3678,,0,CNC,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,"(40.783199310302734, -91.12550354003906)","(38.748697, -90.370003)",234.98087940000002,"169,509","2,803,228"
6,3E,10739,DEC,4042,ORD,3830,,0,CNC,Decatur Airport,Decatur,39.83459854,-88.86569977,682,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,"(39.83459854125977, -88.8656997680664)","(41.9786, -87.9048)",251.47872059999997,"152,603","9,458,539"
7,3E,10739,DEC,4042,ORD,3830,,0,CNC,Decatur Airport,Decatur,39.83459854,-88.86569977,682,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,"(39.83459854125977, -88.8656997680664)","(41.9786, -87.9048)",251.47872059999997,"104,009","9,458,539"
8,3E,10739,DEC,4042,STL,3678,,0,CNC,Decatur Airport,Decatur,39.83459854,-88.86569977,682,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,"(39.83459854125977, -88.8656997680664)","(38.748697, -90.370003)",177.1272072,"152,603","2,803,228"
9,3E,10739,DEC,4042,STL,3678,,0,CNC,Decatur Airport,Decatur,39.83459854,-88.86569977,682,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,"(39.83459854125977, -88.8656997680664)","(38.748697, -90.370003)",177.1272072,"104,009","2,803,228"
10,3E,10739,JBR,3591,STL,3678,,0,CNC,Jonesboro Municipal Airport,Jonesboro,35.83169937,-90.64640045,262,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,"(35.83169937133789, -90.64640045166016)","(38.748697, -90.370003)",324.6634535,"133,860","2,803,228"
11,3E,10739,ORD,3830,BRL,5726,,0,CNC,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,"(41.9786, -87.9048)","(40.783199310302734, -91.12550354003906)",300.3161037,"9,458,539","220,411"
12,3E,10739,ORD,3830,BRL,5726,,0,CNC,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,"(41.9786, -87.9048)","(40.783199310302734, -91.12550354003906)",300.3161037,"9,458,539","169,509"
13,3E,10739,ORD,3830,DEC,4042,,0,CNC,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,Decatur Airport,Decatur,39.83459854,-88.86569977,682,"(41.9786, -87.9048)","(39.83459854125977, -88.8656997680664)",251.47872059999997,"9,458,539","152,603"
14,3E,10739,ORD,3830,DEC,4042,,0,CNC,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,Decatur Airport,Decatur,39.83459854,-88.86569977,682,"(41.9786, -87.9048)","(39.83459854125977, -88.8656997680664)",251.47872059999997,"9,458,539","104,009"
15,3E,10739,STL,3678,BRL,5726,,0,CNC,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,"(38.748697, -90.370003)","(40.783199310302734, -91.12550354003906)",234.98087940000002,"2,803,228","220,411"
16,3E,10739,STL,3678,BRL,5726,,0,CNC,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,Southeast Iowa Regional Airport,Burlington,40.78319931,-91.12550354,698,"(38.748697, -90.370003)","(40.783199310302734, -91.12550354003906)",234.98087940000002,"2,803,228","169,509"
17,3E,10739,STL,3678,DEC,4042,,0,CNC,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,Decatur Airport,Decatur,39.83459854,-88.86569977,682,"(38.748697, -90.370003)","(39.83459854125977, -88.8656997680664)",177.1272072,"2,803,228","152,603"
18,3E,10739,STL,3678,DEC,4042,,0,CNC,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,Decatur Airport,Decatur,39.83459854,-88.86569977,682,"(38.748697, -90.370003)","(39.83459854125977, -88.8656997680664)",177.1272072,"2,803,228","104,009"
19,3E,10739,STL,3678,JBR,3591,,0,CNC,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,618,Jonesboro Municipal Airport,Jonesboro,35.83169937,-90.64640045,262,"(38.748697, -90.370003)","(35.83169937133789, -90.64640045166016)",324.6634535,"2,803,228","133,860"
20,3F,16262,KTN,3808,MTM,7146,,0,DHP,Ketchikan International Airport,Ketchikan,55.35559845,-131.7140045,89,Metlakatla Seaplane Base,Metakatla,55.131001,-131.578003,0,"(55.35559845, -131.7140045)","(55.131001, -131.578003)",26.458092800000003,,
21,3F,16262,MTM,7146,KTN,3808,,0,DHP,Metlakatla Seaplane Base,Metakatla,55.131001,-131.578003,0,Ketchikan International Airport,Ketchikan,55.35559845,-131.7140045,89,"(55.131001, -131.578003)","(55.35559845, -131.7140045)",26.458092800000003,,
22,3M,20710,ATL,3682,LWB,6958,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Greenbrier Valley Airport,Lewisburg,37.85829926,-80.39949799,2302,"(33.6367, -84.428101)","(37.8582992554, -80.3994979858)",593.3042767000001,"6,020,364",
23,3M,20710,ATL,3682,MCN,3754,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Middle Georgia Regional Airport,Macon,32.69279861,-83.64920044,354,"(33.6367, -84.428101)","(32.692798614501946, -83.64920043945312)",127.4266987,"6,020,364","229,996"
24,3M,20710,ATL,3682,MEI,4335,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Key Field,Meridian,32.33259964,-88.75189972,297,"(33.6367, -84.428101)","(32.33259963989258, -88.75189971923828)",429.1973725,"6,020,364",
25,3M,20710,ATL,3682,MSL,5756,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Northwest Alabama Regional Airport,Muscle Shoals,34.74530029,-87.61019897,551,"(33.6367, -84.428101)","(34.74530029, -87.61019897)",318.0317313,"6,020,364",
26,3M,20710,ATL,3682,PIB,5759,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,31.46710014,-89.33709717,298,"(33.6367, -84.428101)","(31.467100143432614, -89.33709716796875)",519.9778951999999,"6,020,364",
27,3M,20710,ATL,3682,TUP,5773,,0,SF3,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,Tupelo Regional Airport,Tupelo,34.26810074,-88.76989746,346,"(33.6367, -84.428101)","(34.26810073852539, -88.7698974609375)",407.3702881,"6,020,364",
28,3M,20710,EYW,3875,FLL,3533,,0,SF3,Key West International Airport,Key West,24.55610085,-81.75959778,3,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,26.072599,-80.152702,9,"(24.556100845336914, -81.75959777832031)","(26.072599, -80.152702)",233.23538219999998,,
29,3M,20710,EYW,3875,RSW,3793,,0,SF3,Key West International Airport,Key West,24.55610085,-81.75959778,3,Southwest Florida International Airport,Fort Myers,26.53619957,-81.75520325,30,"(24.556100845336914, -81.75959777832031)","(26.53619956970215, -81.75520324707031)",219.35806499999998,,
30,3M,20710,EYW,3875,TPA,3646,,0,SF3,Key West International Airport,Key West,24.55610085,-81.75959778,3,Tampa International Airport,Tampa,27.97550011,-82.53320313,26,"(24.556100845336914, -81.75959777832031)","(27.975500106811523, -82.533203125)",386.6401756,,"3,194,831"
31,3M,20710,FLL,3533,EYW,3875,,0,SF3,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,26.072599,-80.152702,9,Key West International Airport,Key West,24.55610085,-81.75959778,3,"(26.072599, -80.152702)","(24.556100845336914, -81.75959777832031)",233.23538219999998,,
